indicator_id,dimension_id,sub_dimension_id,category_id,indicator_name,description,status
58,3,6,21,Proportion of livestock keeping households with access to livestock mobility paths/ migratory routes ,NULL,1
59,3,6,21,Presence of sub-national landscape-level land use plans that address climate change adaptation needs of livestock keepers,NULL,1
60,3,6,21,Existence of a national land-use plan that recognizes climate change adaptation needs of livestock keepers,NULL,1
61,3,6,21,Presence of designated and recognized livestock mobility paths (Extensive systems),NULL,1
62,3,6,21,Existence of water management institutions and plans,NULL,1
63,3,6,21,Existence of policies for defining land tenure,NULL,1
64,3,6,22,"Extent of women's control over decision-making on productive assets e.g., livestock, livestock products, land, and incomes",NULL,1
65,3,6,23,"Existence of socially and economically inclusive programs and interventions, particularly with a focus on supporting the youth to engage in adaptive actions",NULL,1
66,3,6,24,Proportion of livestock-keeping households with membership in social support groups & networks,NULL,1
67,3,6,24,Number of registered social groups & networks existing within the landscape,NULL,1
68,3,6,24,Number of livestock keepers that are members of social support groups and networks disaggregated by gender,NULL,1
69,3,6,25,Presence of subnational plans and strategies that are relevant to climate change adaptation in livestock systems,NULL,1
70,3,6,25,"Presence of subnational institutional frameworks and programs for the implementation of plans, policies, and strategies that are relevant to climate change adaptation in livestock systems",NULL,1
71,3,6,25,"Existence of national plans, policies, and strategies that are supportive of climate change adaptation in livestock systems",NULL,1
72,3,6,25,"Existence of national institutional frameworks for the implementation of plans, policies, and strategies that are relevant to climate change adaptation in livestock systems",NULL,1
73,3,7,26,Ratio of average farmgate to retail price for milk,NULL,1
74,3,7,27,Number of inputs suppliers available,NULL,1
75,3,7,27,Distance to the nearest livestock inputs supplier,NULL,1
76,3,7,27,Livestock keepers satisfaction with the quality of the inputs,NULL,1
77,3,7,28,Proportion of livestock keeping households with active membership in functional livestock and livestock products marketing group ,NULL,1
78,3,7,28,Number of functional marketing groups for livestock and livestock products within the subnational administrative units,NULL,1
79,3,7,29,Number of households with livestock insurance,NULL,1
80,3,7,29,Proportion of Tropical Livestock Units in the sub-national administrative units covered by livestock insurance,NULL,1
81,3,7,30,Number of Tropical Livestock Units in a sub-national administrative units undergoing emergency livestock offtake programs,NULL,1
82,3,7,30,Number of sub-national administration units undertaking emergency livestock offtake programs,NULL,1
83,3,7,31,Proportion of national budgetary allocation to the livestock sub-sector from the total budgetary allocation,NULL,1
84,3,7,31,Proportion of livestock sector budget allocated to adaptation in the sector,NULL,1
85,3,7,31,Amount of resources from non-state actors invested towards adaptation in livestock systems,NULL,1
86,3,7,31,Resources allocated to research in livestock systems,NULL,1
87,3,7,31,"Resources allocated to research relevant to climate change adaptation in livestock systems, including research on feeds",NULL,1
88,3,7,31,Number of credit options available to livestock keepers,NULL,1
89,3,7,31,Number of financial products supporting livestock sub-sector adaptation,NULL,1
90,3,7,31,Number of livestock keepers taking up financial products,NULL,1
91,1,1,2,Number of extremely cold days,NULL,1
92,2,2,6,Number of TLUs affected by diseases that are linked to climatic hazards,NULL,1
93,2,2,6,Number of TLUs affected by pests that are linked to climatic hazards,NULL,1
94,3,4,13,Number of TLUs covered by the vaccination campaigns,NULL,1
95,3,4,14,Presence of subnational administrative units with breeding programs/ schemes that are focused on improving adaptability of livestock to climate change,NULL,1
96,3,4,14,presence of subnational administrative units with livestock breeding programs,NULL,1
